FID,osmid,POINT_X,POINT_Y
172,84773628,-82.363809,29.62807
173,84773631,-82.362039,29.628032
174,84773633,-82.362038,29.627467
175,84773635,-82.362026,29.627161
176,84773636,-82.362051,29.626973
177,84773638,-82.362144,29.62687
178,84773640,-82.362174,29.62659
179,84773641,-82.362179,29.62625
180,84773644,-82.362324,29.626139
181,84773646,-82.362669,29.626164
182,84773649,-82.362824,29.626285
183,84773651,-82.362944,29.626291
184,84773653,-82.363242,29.626349
185,84773655,-82.363599,29.626361
186,84773656,-82.363802,29.626391
187,84773658,-82.3644,29.626651
188,84773659,-82.364573,29.626932
189,84773661,-82.364539,29.629366
190,84773663,-82.363836,29.629375
191,84773665,-82.363813,29.628826
192,84774412,-82.3684414,29.6436797
193,84774419,-82.369615,29.6437379
194,84774438,-82.3684505,29.6442946
195,84774442,-82.3684183,29.6432195
196,84774443,-82.3683722,29.6422517
197,84774755,-82.3537167,29.6382944
198,84774757,-82.3534406,29.6375152
199,84774759,-82.3533913,29.6373871
200,84774760,-82.3533813,29.6373049
201,84774804,-82.3575728,29.6388762
202,84774807,-82.3582787,29.6388746
203,84774808,-82.3587029,29.6388783
204,84774814,-82.3575784,29.6382144
205,84774816,-82.357562,29.6384686
206,84774818,-82.3575484,29.6386826
207,84774819,-82.3575099,29.6389828
208,84774822,-82.3576404,29.6393824
209,84776604,-82.3659884,29.6258303
210,84776606,-82.367205,29.625794
211,84776607,-82.367811,29.625791
212,84776609,-82.367811,29.62608
213,84776611,-82.367811,29.626503
214,84776612,-82.367811,29.62736
215,84780726,-82.3617743,29.6305531
216,84780756,-82.3619647,29.6304078
217,84780758,-82.3617709,29.6297607
218,84780759,-82.3617719,29.6295696
219,84784684,-82.3486909,29.6448758
220,84784692,-82.341325,29.6546073
221,84787223,-82.3358084,29.6430939
222,84790836,-82.3426858,29.655252
223,84790845,-82.3447444,29.6518409
224,84790846,-82.3462928,29.6518399
225,84794455,-82.3350709,29.6507255
226,84794457,-82.3371318,29.6507328
227,84796192,-82.348293,29.6482796
228,84796196,-82.3484391,29.6479357
229,84796203,-82.3486916,29.6479351
230,84796208,-82.3497373,29.6479683
231,84796355,-82.3497422,29.6468603
232,84796364,-82.3423559,29.6459024
233,84796368,-82.3424485,29.6458685
234,84796370,-82.3425106,29.6458269
235,84796373,-82.3425499,29.6457838
236,84796375,-82.3425807,29.6457356
237,84796377,-82.3425733,29.6456309
238,84796379,-82.3425463,29.6455689
